epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1504.52,0.87312,0.77206,0.98059,0.88649,0.92644,0.95886,0.78398,0.7813,0.64107,0.97197,0.000270316,0.000270316,0.000270316
43,1537.81,0.85529,0.74252,0.96916,0.94151,0.96487,0.97837,0.80099,0.76182,0.58328,0.96528,0.000265811,0.000265811,0.000265811
44,1571.91,0.86375,0.77006,0.97282,0.92441,0.94896,0.97446,0.7869,0.7858,0.5946,0.96778,0.000261307,0.000261307,0.000261307
45,1606.04,0.8555,0.75396,0.98502,0.86104,0.87152,0.95006,0.74823,0.86873,0.71974,0.9795,0.000256802,0.000256802,0.000256802
46,1640.99,0.82854,0.7273,0.96329,0.9208,0.91001,0.97326,0.80877,0.71311,0.62455,0.95538,0.000252298,0.000252298,0.000252298
47,1676.04,0.83032,0.71727,0.96553,0.93117,0.94876,0.9798,0.83172,0.68842,0.54603,0.94588,0.000247793,0.000247793,0.000247793
48,1709.36,0.82149,0.70377,0.96618,0.93975,0.96398,0.98114,0.82955,0.70548,0.55267,0.94791,0.000243289,0.000243289,0.000243289
49,1742.48,0.84185,0.72801,0.96668,0.94712,0.96585,0.9884,0.79995,0.74386,0.5558,0.95035,0.000238784,0.000238784,0.000238784
50,1775.41,0.81648,0.692,0.95561,0.93623,0.93218,0.97593,0.81529,0.70137,0.58389,0.93756,0.00023428,0.00023428,0.00023428
51,1808.35,0.81879,0.67637,0.96088,0.94412,0.96299,0.98483,0.82212,0.71533,0.54672,0.94097,0.000229775,0.000229775,0.000229775
52,1842.01,0.79859,0.66456,0.95367,0.95145,0.95964,0.97781,0.83651,0.6462,0.52282,0.92213,0.00022527,0.00022527,0.00022527
53,1875.37,0.80215,0.67793,0.95928,0.97424,0.96335,0.99124,0.85005,0.63754,0.50485,0.91904,0.000220766,0.000220766,0.000220766
54,1908.67,0.78997,0.66258,0.95118,0.95607,0.95359,0.98799,0.84656,0.64498,0.50245,0.93743,0.000216261,0.000216261,0.000216261
55,1941.66,0.77983,0.64031,0.94493,0.96239,0.98124,0.99118,0.84673,0.63988,0.48829,0.92069,0.000211757,0.000211757,0.000211757
56,1974.55,0.77657,0.64112,0.9414,0.96609,0.98455,0.99216,0.85976,0.62824,0.46476,0.91279,0.000207252,0.000207252,0.000207252
57,2007.93,0.75522,0.6296,0.93241,0.96656,0.97188,0.9855,0.84698,0.62807,0.48916,0.91894,0.000202748,0.000202748,0.000202748
58,2041.02,0.75465,0.62035,0.93691,0.98148,0.98195,0.99187,0.86394,0.61354,0.46262,0.9207,0.000198244,0.000198244,0.000198244
59,2075.85,0.75787,0.61257,0.93768,0.96535,0.96698,0.99006,0.85703,0.61816,0.47541,0.91312,0.000193739,0.000193739,0.000193739
60,2108.92,0.75223,0.6124,0.942,0.98093,0.98641,0.99295,0.85545,0.62166,0.44672,0.91937,0.000189235,0.000189235,0.000189235
61,2141.78,0.74697,0.60716,0.9366,0.97104,0.96624,0.99029,0.85256,0.62263,0.47695,0.91653,0.00018473,0.00018473,0.00018473
62,2174.61,0.75414,0.61138,0.93891,0.97264,0.97314,0.99067,0.85033,0.62433,0.45812,0.91179,0.000180226,0.000180226,0.000180226
63,2207.63,0.73727,0.58641,0.93544,0.95679,0.97382,0.9823,0.83757,0.6338,0.47215,0.9039,0.000175721,0.000175721,0.000175721
64,2240.86,0.73143,0.59277,0.92942,0.95971,0.97253,0.98327,0.84738,0.60133,0.47827,0.91183,0.000171217,0.000171217,0.000171217
65,2273.6,0.72922,0.58703,0.93461,0.98989,0.98592,0.99375,0.8744,0.56751,0.41811,0.90161,0.000166712,0.000166712,0.000166712
66,2306.9,0.72147,0.56278,0.92566,0.98005,0.98117,0.99376,0.86353,0.60314,0.44338,0.91483,0.000162207,0.000162207,0.000162207
67,2339.75,0.73883,0.56817,0.93284,0.98005,0.98758,0.99384,0.88314,0.54737,0.41656,0.89026,0.000157703,0.000157703,0.000157703
68,2373,0.7098,0.55143,0.92249,0.98327,0.97409,0.99156,0.85669,0.60748,0.43075,0.91136,0.000153198,0.000153198,0.000153198
69,2406.08,0.71409,0.56008,0.92673,0.97899,0.98129,0.99234,0.86123,0.62614,0.4384,0.9089,0.000148694,0.000148694,0.000148694
70,2439.05,0.70058,0.54708,0.9224,0.96903,0.98145,0.9921,0.87594,0.55497,0.43358,0.89445,0.00014419,0.00014419,0.00014419
71,2472.11,0.68965,0.53252,0.91882,0.98538,0.97767,0.99341,0.86647,0.57725,0.41538,0.90375,0.000139685,0.000139685,0.000139685
72,2505.21,0.70545,0.5432,0.92943,0.98726,0.98423,0.99232,0.86741,0.58465,0.4227,0.90546,0.000135181,0.000135181,0.000135181
73,2538.61,0.68533,0.53147,0.91764,0.97454,0.98023,0.99254,0.87456,0.55578,0.41218,0.89547,0.000130676,0.000130676,0.000130676
74,2571.81,0.69328,0.53181,0.9172,0.97342,0.98077,0.98907,0.86866,0.57712,0.42515,0.8931,0.000126172,0.000126172,0.000126172
75,2605.33,0.66945,0.52762,0.91098,0.98557,0.98211,0.99308,0.8864,0.53358,0.40374,0.88575,0.000121667,0.000121667,0.000121667
76,2638.79,0.67029,0.52918,0.91534,0.98788,0.98739,0.99392,0.87158,0.56645,0.40712,0.88913,0.000117163,0.000117163,0.000117163
77,2672,0.66443,0.5192,0.9162,0.98586,0.98241,0.99272,0.87127,0.56248,0.40539,0.88815,0.000112658,0.000112658,0.000112658
78,2705.18,0.66959,0.50688,0.91116,0.97171,0.9784,0.99251,0.8842,0.5475,0.40987,0.88982,0.000108154,0.000108154,0.000108154
79,2738.12,0.65924,0.50784,0.90944,0.97977,0.98628,0.99306,0.88782,0.5264,0.386,0.88143,0.000103649,0.000103649,0.000103649
80,2775.41,0.6517,0.49282,0.9068,0.99114,0.98119,0.99391,0.88077,0.53366,0.38749,0.88181,9.91445e-05,9.91445e-05,9.91445e-05
81,2821.67,0.65319,0.51158,0.90539,0.98802,0.98141,0.9939,0.88275,0.54082,0.39384,0.88597,9.464e-05,9.464e-05,9.464e-05
82,2855.98,0.65782,0.51119,0.90594,0.98877,0.98658,0.99394,0.88438,0.54304,0.38648,0.88624,9.01355e-05,9.01355e-05,9.01355e-05
83,2891.63,0.64837,0.49796,0.9089,0.99407,0.99307,0.99439,0.89876,0.50576,0.36648,0.87954,8.5631e-05,8.5631e-05,8.5631e-05
84,2926.38,0.64037,0.49752,0.90753,0.98779,0.98966,0.99419,0.89193,0.5206,0.38195,0.87914,8.11265e-05,8.11265e-05,8.11265e-05
85,2961.96,0.6481,0.491,0.90301,0.987,0.98078,0.9932,0.88852,0.51718,0.38526,0.88359,7.6622e-05,7.6622e-05,7.6622e-05
86,2996.45,0.63368,0.4844,0.90665,0.98769,0.99142,0.99373,0.89202,0.51491,0.37941,0.87856,7.21175e-05,7.21175e-05,7.21175e-05
87,3030.69,0.6368,0.49147,0.90845,0.98264,0.97403,0.99164,0.88961,0.51535,0.38849,0.87747,6.7613e-05,6.7613e-05,6.7613e-05
88,3065.41,0.6145,0.48126,0.90288,0.98445,0.99139,0.99349,0.89316,0.50242,0.38105,0.87744,6.31085e-05,6.31085e-05,6.31085e-05
89,3100.01,0.63711,0.49676,0.90793,0.99017,0.99269,0.99401,0.8878,0.52351,0.37206,0.88492,5.8604e-05,5.8604e-05,5.8604e-05
90,3134.44,0.62588,0.46863,0.89952,0.98887,0.98122,0.99365,0.90094,0.48202,0.36856,0.87262,5.40995e-05,5.40995e-05,5.40995e-05
91,3264.5,0.57437,0.42011,0.8883,0.98495,0.98795,0.99361,0.88268,0.52681,0.38848,0.88023,4.9595e-05,4.9595e-05,4.9595e-05
92,3298.69,0.55013,0.40236,0.8806,0.982,0.98673,0.9934,0.89048,0.50139,0.37116,0.87439,4.50905e-05,4.50905e-05,4.50905e-05
93,3334.94,0.53915,0.39565,0.87178,0.9897,0.9888,0.99365,0.87883,0.53903,0.3795,0.87643,4.0586e-05,4.0586e-05,4.0586e-05
94,3369.7,0.53848,0.39276,0.87857,0.98848,0.98476,0.99351,0.88944,0.50781,0.37142,0.87621,3.60815e-05,3.60815e-05,3.60815e-05
95,3405.23,0.52871,0.38541,0.86854,0.98834,0.9819,0.9932,0.89401,0.49643,0.37309,0.87092,3.1577e-05,3.1577e-05,3.1577e-05
96,3439.33,0.53024,0.38639,0.86867,0.99253,0.99069,0.99408,0.89844,0.48687,0.35925,0.86636,2.70725e-05,2.70725e-05,2.70725e-05
97,3473.01,0.51133,0.37394,0.86672,0.98308,0.99252,0.99396,0.89842,0.48981,0.36221,0.86934,2.2568e-05,2.2568e-05,2.2568e-05
98,3507.1,0.52497,0.38349,0.86787,0.98874,0.98697,0.99404,0.90412,0.46806,0.35883,0.86541,1.80635e-05,1.80635e-05,1.80635e-05
99,3542.02,0.51805,0.38106,0.86244,0.9927,0.98507,0.99415,0.89761,0.48761,0.35863,0.86839,1.3559e-05,1.3559e-05,1.3559e-05
100,3576.73,0.50436,0.37398,0.86616,0.99265,0.98653,0.99426,0.90376,0.47396,0.35502,0.86751,9.0545e-06,9.0545e-06,9.0545e-06
